id,timestep,tol_coeffs,scaling,analysis_type,omega,zeta,forcing_freq,F0,friction_force_ratio,x0,noisy_measure_flag,noise_level,noisy_input_flag,omega_noise,zeta_noise,poly_order,phases,sgn_flag,mus,stds,equation,rmse
1,0.005,0.05,True,forced global response,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",False,0.1,False,0.05,0.2,4,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,"tensor([[0.0240, 0.0072]])","tensor([[0.8503, 1.0083]])",0.284 cos(1.2 t) -0.857 x +0.135 y -0.262 x^3 -0.400 x^2y -0.207 xy^2 -0.058 y^3,[0.1908775  0.22789445]
2,0.005,0.05,True,forced global response,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",False,0.01,False,0.05,0.2,4,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],True,"tensor([[0.0240, 0.0072]])","tensor([[0.8503, 1.0083]])",0.538 cos(1.2 t) +0.065 cos(1.3 t) +0.084 cos(1.4 t) +0.060 cos(1.5 t) -0.490 sgn(y) -0.687 x +0.564 y -0.104 x^2 -0.332 x^3 -0.221 x^2y -0.215 xy^2 -0.171 y^3 +0.073 x^4,[0.35614499 0.42874932]
3,0.005,0.1,True,forced global response,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",False,0.01,False,0.05,0.2,4,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],True,"tensor([[0.0240, 0.0072]])","tensor([[0.8503, 1.0083]])",0.677 cos(1.2 t) -0.478 sgn(y) -0.802 x +0.539 y -0.244 x^3 -0.305 x^2y -0.208 y^3,[0.12026283 0.15170175]
4,0.005,0.1,True,forced global response,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",True,0.01,False,0.05,0.2,4,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],True,"tensor([[0.0240, 0.0072]])","tensor([[0.8503, 1.0085]])",0.689 cos(1.2 t) -0.476 sgn(y) -0.795 x +0.517 y -0.241 x^3 -0.298 x^2y -0.201 y^3,[0.12615111 0.15829123]
5,0.005,0.1,True,forced global response,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",True,0.1,False,0.05,0.2,4,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],True,"tensor([[0.0242, 0.0071]])","tensor([[0.8549, 1.0139]])",0.785 cos(1.2 t) -0.211 sgn(x) -0.518 sgn(y) -0.848 x +0.203 y -0.356 xy -0.208 x^2y +0.187 x^3y +0.185 xy^3,[0.2389337  0.28436313]
6,0.01,0.1,True,forced global response,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",True,0.1,False,0.05,0.2,4,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],True,"tensor([[0.0248, 0.0076]])","tensor([[0.8556, 1.0144]])",0.875 cos(1.2 t) -0.100 sgn(x) -0.518 sgn(y) +0.151 1 -0.939 x -0.285 x^2 -0.380 y^2 +0.103 x^4 +0.350 x^2y^2 +0.116 y^4,[0.09137999 0.08951572]
7,0.01,0.1,True,forced global response,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",True,0.1,False,0.05,0.2,4,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],True,"tensor([[0.0251, 0.0096]])","tensor([[0.8531, 1.0154]])",0.834 cos(1.2 t) -0.493 sgn(y) -0.832 x -0.321 x^2 -0.673 xy -0.179 x^3 +0.168 x^4 +0.435 x^3y +0.264 xy^3,[0.23699028 0.2739217 ]
8,0.01,0.1,True,forced global response,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",True,0.1,False,0.05,0.2,4,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],True,"tensor([[0.0242, 0.0049]])","tensor([[0.8531, 1.0121]])",1.001 cos(1.2 t) -0.129 sgn(x) -0.542 sgn(y) -0.825 x,[0.12841797 0.14809467]
9,0.01,0.1,True,forced global response,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",True,0.1,False,0.05,0.2,4,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],True,"tensor([[0.0242, 0.0057]])","tensor([[0.8564, 1.0151]])",0.943 cos(1.2 t) -0.146 sgn(x) -0.528 sgn(y) +0.265 1 -0.815 x -0.556 x^2 -0.184 xy -0.563 y^2 +0.231 x^4 +0.203 x^3y +0.460 x^2y^2 +0.173 y^4,[0.16836545 0.15571398]
10,0.01,0.1,True,forced global response,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",True,0.1,False,0.05,0.2,4,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],True,"tensor([[0.0259, 0.0059]])","tensor([[0.8563, 1.0132]])",0.879 cos(1.2 t) -0.115 sgn(x) -0.528 sgn(y) -0.832 x -0.908 xy +0.596 x^3y +0.355 xy^3,[0.18436636 0.22501835]
