id,timestep,tol_coeffs,scaling,analysis_type,omega,zeta,forcing_freq,F0,friction_force_ratio,x0,noisy_measure_flag,noise_level,noisy_input_flag,omega_noise,zeta_noise,poly_order,phases,sgn_flag,mus,stds,equation,rmse
1,0.01,0.1,True,forced with known terms,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",False,0.01,False,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,"tensor([[0.0240, 0.0073]])","tensor([[0.8503, 1.0083]])",0.426 cos(1.2 t) -0.157 x -0.303 x^2y,[0.1578173  0.19199676]
2,0.01,0.1,True,forced with known terms,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",False,0.01,False,0.05,0.2,-1,[1.2],True,"tensor([[0.0240, 0.0073]])","tensor([[0.8503, 1.0083]])",0.998 cos(1.2 t) -0.498 sgn(y),[0.00566405 0.00562635]
3,0.01,0.1,True,forced with known terms,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",False,0.01,False,0.05,0.2,-1,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],True,"tensor([[0.0240, 0.0073]])","tensor([[0.8503, 1.0083]])",0.998 cos(1.2 t) -0.498 sgn(y),[0.00464072 0.00452977]
4,0.01,0.1,True,forced with known terms,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",False,0.01,False,0.05,0.2,2,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],True,"tensor([[0.0240, 0.0073]])","tensor([[0.8503, 1.0083]])",0.835 cos(1.2 t) -0.435 sgn(y),[0.18226575 0.21526031]
5,0.01,0.05,True,forced with known terms,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",False,0.01,False,0.05,0.2,2,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],True,"tensor([[0.0240, 0.0073]])","tensor([[0.8503, 1.0083]])",0.892 cos(1.2 t) -0.483 sgn(y) -0.052 x,[0.15186458 0.17815459]
6,0.01,0.05,True,forced with known terms,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",False,0.01,False,0.05,0.2,4,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,"tensor([[0.0240, 0.0073]])","tensor([[0.8503, 1.0083]])",0.312 cos(1.2 t) -0.159 x +0.085 y -0.064 x^3 -0.330 x^2y -0.080 xy^2,[0.05160364 0.06320401]
7,0.01,0.05,True,forced with known terms,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",True,0.01,False,0.05,0.2,4,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,"tensor([[0.0241, 0.0073]])","tensor([[0.8504, 1.0085]])",0.317 cos(1.2 t) -0.163 x +0.080 y -0.060 x^3 -0.329 x^2y -0.077 xy^2,[0.05267437 0.0645412 ]
8,0.01,0.05,True,forced with known terms,0.9660752634756389,0.04694500536946347,1.2,1.0,0.5,"(0.1, 0.1)",True,0.05,True,0.05,0.2,4,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,"tensor([[0.0244, 0.0074]])","tensor([[0.8519, 1.0101]])",0.416 cos(1.2 t) +0.106 1 -0.271 x -0.187 x^2 -0.106 y^2 -0.302 x^2y +0.066 x^4 +0.168 x^2y^2,[0.07571871 0.0938969 ]
9,0.01,0.05,True,forced with known terms,0.9660752634756389,0.04694500536946347,1.2,1.0,0.5,"(0.1, 0.1)",True,0.1,True,0.05,0.2,4,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,"tensor([[0.0248, 0.0076]])","tensor([[0.8556, 1.0144]])",0.371 cos(1.2 t) +0.136 1 -0.429 x -0.264 x^2 -0.285 y^2 +0.092 x^3 -0.252 x^2y +0.100 x^4 +0.279 x^2y^2 +0.077 y^4,[0.09997347 0.11790791]
10,0.01,0.05,True,forced with known terms,0.9531740077097255,0.055795842217637386,1.2,1.0,0.5,"(0.1, 0.1)",True,0.1,True,0.05,0.2,4,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,"tensor([[0.0251, 0.0096]])","tensor([[0.8531, 1.0154]])",0.331 cos(1.2 t) +0.059 1 -0.222 x -0.288 x^2 -0.484 xy -0.078 x^3 -0.238 x^2y -0.094 xy^2 +0.150 x^4 +0.332 x^3y +0.168 xy^3,[0.10492084 0.13029836]
