tol_coeffs,scaling,timestep,id,data_source,poly_order,cos_phases,sin_phases,x_sgn_flag,y_sgn_flag,analysis_type,timefinal,omega,zeta,forcing_freq,F0,friction_force_ratio,x0,true_omega,true_zeta,noisy_measure_flag,noise_level,noisy_input_flag,omega_noise,zeta_noise,mus,stds,equation,nrmse
0.05,True,0.01,1,0,4,[0.6 0.8 1.  1.2 1.4 1.6 1.8],(),False,False,forced with known terms,50,0.9660752634756389,0.04694500536946347,1.2,1.0,0.5,"(0.1, 0.1)",1.0,0.05,True,0.01,True,0.05,0.2,"tensor([[0.0241, 0.0073]])","tensor([[0.8504, 1.0085]])",0.341 cos(1.2 t) -0.218 x +0.057 y -0.061 x^3 -0.327 x^2y -0.077 xy^2,[0.01746817 0.0181838 ]
0.05,True,0.01,2,0,4,[0.6 0.8 1.  1.2 1.4 1.6 1.8],(),False,False,forced with known terms,50,0.9660752634756389,0.04694500536946347,1.2,1.0,0.5,"(0.1, 0.1)",1.0,0.05,True,0.05,True,0.05,0.2,"tensor([[0.0244, 0.0074]])","tensor([[0.8519, 1.0101]])",0.418 cos(1.2 t) +0.062 1 -0.295 x -0.298 x^2 -0.309 x^2y +0.155 x^4 +0.097 x^2y^2,[0.02254567 0.02415573]
0.05,True,0.01,3,0,4,[0.6 0.8 1.  1.2 1.4 1.6 1.8],(),False,False,forced with known terms,50,0.9660752634756389,0.04694500536946347,1.2,1.0,0.5,"(0.1, 0.1)",1.0,0.05,True,0.1,True,0.05,0.2,"tensor([[0.0248, 0.0076]])","tensor([[0.8556, 1.0144]])",0.377 cos(1.2 t) +0.124 1 -0.269 x -0.243 x^2 -0.275 y^2 -0.246 x^2y -0.081 xy^2 +0.092 x^4 +0.272 x^2y^2 +0.075 y^4,[0.01816765 0.01883798]
0.05,True,0.01,4,0,4,[0.6 0.8 1.  1.2 1.4 1.6 1.8],(),False,False,forced global response,50,0.9660752634756389,0.04694500536946347,1.2,1.0,0.5,"(0.1, 0.1)",1.0,0.05,True,0.01,True,0.05,0.2,"tensor([[0.0241, 0.0073]])","tensor([[0.8504, 1.0085]])",0.401 cos(1.2 t) -0.899 x -0.068 y -0.201 x^3 -0.315 x^2y -0.170 xy^2,[0.03518747 0.03402469]
0.05,True,0.01,5,0,4,[0.6 0.8 1.  1.2 1.4 1.6 1.8],(),False,False,forced global response,50,0.9660752634756389,0.04694500536946347,1.2,1.0,0.5,"(0.1, 0.1)",1.0,0.05,True,0.05,True,0.05,0.2,"tensor([[0.0244, 0.0074]])","tensor([[0.8519, 1.0101]])",0.625 cos(1.2 t) -0.935 x -0.461 y -0.109 x^3 -0.144 x^2y -0.120 xy^2 +0.114 y^3,[0.03403246 0.03350037]
0.05,True,0.01,6,0,4,[0.6 0.8 1.  1.2 1.4 1.6 1.8],(),False,False,forced global response,50,0.9660752634756389,0.04694500536946347,1.2,1.0,0.5,"(0.1, 0.1)",1.0,0.05,True,0.1,True,0.05,0.2,"tensor([[0.0248, 0.0076]])","tensor([[0.8556, 1.0144]])",0.809 cos(1.2 t) +0.118 1 -1.008 x -0.649 y -0.250 x^2 +0.112 xy -0.367 y^2 -0.067 x^2y -0.055 xy^2 +0.140 y^3 +0.095 x^4 -0.053 x^3y +0.356 x^2y^2 -0.087 xy^3 +0.117 y^4,[0.03235382 0.0269773 ]
0.05,True,0.01,9,0,4,[0.6 0.8 1.  1.2 1.4 1.6 1.8],(),False,False,forced with known terms,50,0.9660752634756389,0.04694500536946347,1.2,1.0,0.5,"(0.1, 0.1)",1.0,0.05,True,0.1,True,0.05,0.2,"tensor([[0.0248, 0.0076]])","tensor([[0.8556, 1.0144]])",0.377 cos(1.2 t) +0.124 1 -0.269 x -0.243 x^2 -0.275 y^2 -0.246 x^2y -0.081 xy^2 +0.092 x^4 +0.272 x^2y^2 +0.075 y^4,[0.01816765 0.01883798]
0.05,True,0.01,21,0,3,[0.6 0.8 1.  1.2 1.4 1.6 1.8],(),False,False,forced with known terms,50,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",1.0,0.05,True,0.1,False,0.05,0.2,"tensor([[0.0248, 0.0076]])","tensor([[0.8556, 1.0144]])",0.398 cos(1.2 t) -0.332 x +0.079 x^3 -0.259 x^2y,[0.03525699 0.03472849]
0.05,True,0.01,21,0,3,[0.6 0.8 1.  1.2 1.4 1.6 1.8],(),False,True,forced with known terms,50,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",1.0,0.05,True,0.1,False,0.05,0.2,"tensor([[0.0248, 0.0076]])","tensor([[0.8556, 1.0144]])",0.873 cos(1.2 t) -0.477 sgn(y) -0.143 x +0.069 x^3,[0.05902211 0.05708949]
0.05,True,0.01,21,0,2,[0.6 0.8 1.  1.2 1.4 1.6 1.8],(),False,True,forced with known terms,50,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",1.0,0.05,True,0.1,False,0.05,0.2,"tensor([[0.0248, 0.0076]])","tensor([[0.8556, 1.0144]])",0.981 cos(1.2 t) -0.492 sgn(y),[0.00723296 0.0070212 ]
