id,timestep,tol_coeffs,scaling,omega,zeta,forcing_freq,F0,friction_force_ratio,x0,noisy_measure_flag,noise_level,noisy_input_flag,omega_noise,zeta_noise,poly_order,cos_phases,sin_phases,x_sgn_flag,y_sgn_flag,analysis_type,mus,stds,equation,nrmse
1,0.01,0.05,True,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",True,0.01,False,0.05,0.2,3,[1.  1.2 1.4 1.6 1.8 2.  2.2 2.4 2.6 2.8 3.  3.2 3.4 3.6 3.8 4. ],[1.  1.2 1.4 1.6 1.8 2.  2.2 2.4 2.6 2.8 3.  3.2 3.4 3.6 3.8 4. ],True,True,forced with known terms,"tensor([[0.0241, 0.0073]])","tensor([[0.8504, 1.0085]])",0.939 cos(1.2 t) -0.512 sgn(y) +0.077 y,[0.03065906 0.03036723]
2,0.01,0.05,True,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",True,0.1,False,0.05,0.2,3,[1.  1.2 1.4 1.6 1.8 2.  2.2 2.4 2.6 2.8 3.  3.2 3.4 3.6 3.8 4. ],[1.  1.2 1.4 1.6 1.8 2.  2.2 2.4 2.6 2.8 3.  3.2 3.4 3.6 3.8 4. ],True,True,forced with known terms,"tensor([[0.0248, 0.0076]])","tensor([[0.8556, 1.0144]])",0.968 cos(1.2 t) -0.133 cos(3.6 t) +0.063 sin(2.4 t) +0.099 sgn(x) -0.533 sgn(y) -0.064 1 -0.222 x +0.090 x^2 +0.150 x^3 +0.117 x^2y -0.149 xy^2,[0.02644948 0.02344591]
3,0.01,0.05,True,0.9660752634756389,0.04694500536946347,1.2,1.0,0.5,"(0.1, 0.1)",True,0.1,True,0.05,0.2,4,[1.  1.2 1.4 1.6 1.8 2.  2.2 2.4 2.6 2.8 3.  3.2 3.4 3.6 3.8 4. ],[1.  1.2 1.4 1.6 1.8 2.  2.2 2.4 2.6 2.8 3.  3.2 3.4 3.6 3.8 4. ],False,False,forced global response,"tensor([[0.0248, 0.0076]])","tensor([[0.8556, 1.0144]])",0.425 cos(1.2 t) -0.087 cos(2.4 t) -0.229 sin(1.2 t) -0.059 sin(2.2 t) +0.223 sin(2.4 t) +0.185 sin(3.6 t) +0.184 1 -1.065 x -0.127 y -0.128 x^2 -0.240 xy -0.589 y^2 +0.064 x^4 +0.060 x^3y +0.404 x^2y^2 +0.160 y^4,[0.09292112 0.07522774]
3,0.01,0.05,True,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",True,0.1,False,0.05,0.2,4,[1.  1.2 1.4 1.6 1.8 2.  2.2 2.4 2.6 2.8 3.  3.2 3.4 3.6 3.8 4. ],[1.  1.2 1.4 1.6 1.8 2.  2.2 2.4 2.6 2.8 3.  3.2 3.4 3.6 3.8 4. ],False,False,forced global response,"tensor([[0.0248, 0.0076]])","tensor([[0.8556, 1.0144]])",0.425 cos(1.2 t) -0.087 cos(2.4 t) -0.229 sin(1.2 t) -0.059 sin(2.2 t) +0.223 sin(2.4 t) +0.185 sin(3.6 t) +0.184 1 -1.065 x -0.127 y -0.128 x^2 -0.240 xy -0.589 y^2 +0.064 x^4 +0.060 x^3y +0.404 x^2y^2 +0.160 y^4,[0.09292112 0.07522774]
4,0.01,0.05,True,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",True,0.1,False,0.05,0.2,4,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4],(),False,False,forced with known terms,"tensor([[0.0248, 0.0076]])","tensor([[0.8556, 1.0144]])",0.095 cos(0.0 t) +0.394 cos(1.2 t) +0.095 1 -0.382 x -0.385 x^2 -0.357 y^2 +0.114 x^3 -0.256 x^2y +0.148 x^4 +0.356 x^2y^2 -0.063 xy^3 +0.096 y^4,[0.03739451 0.03617534]
4,0.01,0.05,True,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",True,0.1,False,0.05,0.2,4,[1.  1.2 1.4 1.6 1.8 2.  2.2 2.4 2.6 2.8 3.  3.2 3.4 3.6 3.8 4. ],(),False,False,forced with known terms,"tensor([[0.0248, 0.0076]])","tensor([[0.8556, 1.0144]])",0.372 cos(1.2 t) +0.128 1 -0.325 x -0.254 x^2 -0.275 y^2 +0.078 x^3 -0.235 x^2y +0.097 x^4 +0.273 x^2y^2 +0.075 y^4,[0.03056177 0.02957833]
5,0.01,0.05,True,1.0,0.05,0.3,1.0,0.5,"(0.1, 0.1)",False,0.1,False,0.05,0.2,-1,[0.3],(),False,True,forced with known terms,"tensor([[ 0.0736, -0.0105]])","tensor([[0.6622, 0.2535]])",0.912 cos(0.3 t) -0.340 sgn(y),[0.08918692 0.08411813]
6,0.01,0.05,True,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",True,0.1,False,0.05,0.2,2,[1.  1.2 1.4 1.6 1.8 2.  2.2 2.4 2.6 2.8 3.  3.2 3.4 3.6 3.8 4. ],(),False,True,forced global response,"tensor([[0.0248, 0.0076]])","tensor([[0.8556, 1.0144]])",1.031 cos(1.2 t) -0.496 sgn(y) -0.980 x -0.124 y,[0.00816885 0.00746205]
7,0.01,0.05,True,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",True,0.1,False,0.05,0.2,2,[1.  1.2 1.4 1.6 1.8 2.  2.2 2.4 2.6 2.8 3.  3.2 3.4 3.6 3.8 4. ],(),True,True,forced global response,"tensor([[0.0248, 0.0076]])","tensor([[0.8556, 1.0144]])",1.046 cos(1.2 t) -0.499 sgn(y) -0.973 x -0.130 y,[0.01030844 0.00934784]
8,0.01,0.05,True,1.0,0.05,1.2,1.0,0.5,"(0.1, 0.1)",True,0.1,False,0.05,0.2,2,[1.  1.2 1.4 1.6 1.8 2.  2.2 2.4 2.6 2.8 3.  3.2 3.4 3.6 3.8 4. ],[1.  1.2 1.4 1.6 1.8 2.  2.2 2.4 2.6 2.8 3.  3.2 3.4 3.6 3.8 4. ],True,True,forced global response,"tensor([[0.0248, 0.0076]])","tensor([[0.8556, 1.0144]])",0.966 cos(1.2 t) -0.185 sin(1.2 t) -0.508 sgn(y) -0.890 x,[0.02131786 0.01785644]
