Protocoltimestamp,SensorDistance0,SensorDistance2
0,11.57683,19.15975
0.0005,11.57683,19.15975
0.001,11.57683,19.15975
0.0015,11.57683,19.15975
0.002,11.57683,19.15975
0.0025,11.57683,19.15975
0.003,11.57683,19.15975
0.0035,11.57683,19.15975
0.004,11.57683,19.15975
0.0045,11.57683,19.15975
0.005,11.57683,19.15975
0.0055,11.57683,19.15975
0.006,11.57683,19.15975
0.0065,11.57683,19.15975
0.007,11.57683,19.15975
0.0075,11.57683,19.15975
0.008,11.57683,19.15975
0.0085,11.57683,19.15975
0.009,11.57683,19.15897
0.0095,11.57683,19.15897
0.01,11.57683,19.15897
0.0105,11.57683,19.15897
0.011,11.57683,19.15897
0.0115,11.57683,19.15975
0.012,11.57683,19.15975
0.0125,11.57683,19.15897
0.013,11.57683,19.15897
0.0135,11.57683,19.15975
0.014,11.57683,19.15975
0.0145,11.57683,19.15975
0.015,11.57683,19.15975
0.0155,11.57683,19.15975
0.016,11.57683,19.15975
0.0165,11.57683,19.15975
0.017,11.57683,19.15975
0.0175,11.57683,19.15975
0.018,11.57683,19.15975
0.0185,11.57683,19.15975
0.019,11.57683,19.15975
0.0195,11.57683,19.15897
0.02,11.57683,19.15975
0.0205,11.57683,19.15897
0.021,11.57683,19.15975
0.0215,11.57683,19.15897
0.022,11.57683,19.15975
0.0225,11.57683,19.15975
0.023,11.57683,19.15975
0.0235,11.57683,19.15975
0.024,11.57683,19.15975
0.0245,11.57683,19.15897
0.025,11.57683,19.15897
0.0255,11.57683,19.15897
0.026,11.57683,19.15897
0.0265,11.57683,19.15897
0.027,11.57683,19.15897
0.0275,11.57683,19.15897
0.028,11.57683,19.15897
0.0285,11.57683,19.15975
0.029,11.57683,19.15975
0.0295,11.57683,19.15975
0.03,11.57683,19.15975
0.0305,11.57683,19.15975
0.031,11.57683,19.15975
0.0315,11.57683,19.15975
0.032,11.57683,19.15975
0.0325,11.57683,19.15975
0.033,11.57683,19.15975
0.0335,11.57683,19.15975
0.034,11.57683,19.15975
0.0345,11.57683,19.15975
0.035,11.57683,19.15975
0.0355,11.57683,19.15975
0.036,11.57683,19.15975
0.0365,11.57683,19.15975
0.037,11.57683,19.15975
0.0375,11.57683,19.15975
0.038,11.57683,19.15975
0.0385,11.57683,19.15975
0.039,11.57683,19.15975
0.0395,11.57683,19.15975
0.04,11.57683,19.15975
0.0405,11.57683,19.15975
0.041,11.57683,19.15975
0.0415,11.57683,19.15975
0.042,11.57683,19.15975
0.0425,11.57683,19.15975
0.043,11.57683,19.15975
0.0435,11.57683,19.15975
0.044,11.57683,19.15975
0.0445,11.57683,19.15975
0.045,11.57683,19.15975
0.0455,11.57683,19.15975
0.046,11.57683,19.15975
0.0465,11.57683,19.15975
0.047,11.57683,19.15975
0.0475,11.57683,19.15975
0.048,11.57683,19.15975
0.0485,11.57683,19.15975
0.049,11.57683,19.15897
0.0495,11.57683,19.15897
0.05,11.57683,19.15975
0.0505,11.57683,19.15897
0.051,11.57683,19.15975
0.0515,11.57683,19.15975
0.052,11.57683,19.15975
0.0525,11.57683,19.15975
0.053,11.57683,19.15975
0.0535,11.57683,19.15975
0.054,11.57683,19.15975
0.0545,11.57683,19.15975
0.055,11.57683,19.15975
0.0555,11.57683,19.15975
0.056,11.57683,19.15975
0.0565,11.57683,19.15975
0.057,11.57683,19.15975
0.0575,11.57683,19.15975
0.058,11.57683,19.15975
0.0585,11.57683,19.15975
0.059,11.57683,19.15975
0.0595,11.57683,19.15975
0.06,11.57683,19.15975
0.0605,11.57683,19.15975
0.061,11.57683,19.15975
0.0615,11.57683,19.15975
0.062,11.57683,19.15975
0.0625,11.57683,19.15975
0.063,11.57683,19.15975
0.0635,11.57683,19.15975
0.064,11.57683,19.15975
0.0645,11.57683,19.15975
0.065,11.57683,19.15975
0.0655,11.57683,19.15975
0.066,11.57683,19.15975
0.0665,11.57683,19.15975
0.067,11.57683,19.15975
0.0675,11.57683,19.15975
0.068,11.57683,19.15975
0.0685,11.57683,19.15975
0.069,11.57683,19.15975
0.0695,11.57683,19.15975
0.07,11.57683,19.15975
0.0705,11.57683,19.15975
0.071,11.57683,19.15975
0.0715,11.57683,19.15975
0.072,11.57683,19.15975
0.0725,11.57683,19.15897
0.073,11.57683,19.15897
0.0735,11.57683,19.15897
0.074,11.57683,19.15897
0.0745,11.57683,19.15897
0.075,11.57683,19.15897
0.0755,11.57683,19.15897
0.076,11.57683,19.15897
0.0765,11.57683,19.15897
0.077,11.57683,19.15897
0.0775,11.57683,19.15975
0.078,11.57683,19.15975
0.0785,11.57683,19.15975
0.079,11.57683,19.15975
0.0795,11.57683,19.15975
0.08,11.57683,19.15975
0.0805,11.57683,19.15975
0.081,11.57683,19.15975
0.0815,11.57683,19.15975
