Protocoltimestamp,SensorDistance0,SensorDistance2
0.999999,12.43072,19.69295
0.0005,12.43072,19.69295
0.001,12.43072,19.69295
0.0015,12.43072,19.69295
0.002,12.43072,19.69295
0.0025,12.43072,19.69295
0.003,12.43072,19.69295
0.0035,12.43072,19.69295
0.004,12.43072,19.69295
0.0045,12.43072,19.69295
0.005,12.43072,19.69295
0.0055,12.43072,19.69295
0.006,12.43072,19.69295
0.0065,12.43072,19.69295
0.007,12.43072,19.69295
0.0075,12.43072,19.69295
0.008,12.43072,19.69295
0.0085,12.43072,19.69295
0.009,12.43033,19.69295
0.0095,12.43033,19.69295
0.01,12.43033,19.69295
0.0105,12.43033,19.69295
0.011,12.43033,19.69295
0.0115,12.43033,19.69295
0.012,12.43033,19.69295
0.0125,12.43033,19.69295
0.013,12.43033,19.69295
0.0135,12.43033,19.69295
0.014,12.43033,19.69295
0.0145,12.43033,19.69295
0.015,12.43033,19.69295
0.0155,12.43033,19.69295
0.016,12.43033,19.69295
0.0165,12.43033,19.69295
0.017,12.43072,19.69295
0.0175,12.43033,19.69295
0.018,12.43072,19.69295
0.0185,12.43033,19.69295
0.019,12.43072,19.69295
0.0195,12.43072,19.69295
0.02,12.43072,19.69295
0.0205,12.43072,19.69295
0.021,12.43072,19.69295
0.0215,12.43072,19.69295
0.022,12.43072,19.69295
0.0225,12.43072,19.69295
0.023,12.43072,19.69295
0.0235,12.43072,19.69295
0.024,12.43072,19.69295
0.0245,12.43072,19.69295
0.025,12.43072,19.69295
0.0255,12.43072,19.69295
0.026,12.43072,19.69295
0.0265,12.43072,19.69295
0.027,12.43072,19.69295
0.0275,12.43072,19.69295
0.028,12.43072,19.69295
0.0285,12.43072,19.69295
0.029,12.43072,19.69295
0.0295,12.43072,19.69295
0.03,12.43072,19.69295
0.0305,12.43072,19.69295
0.031,12.43033,19.69295
0.0315,12.43033,19.69295
0.032,12.43033,19.69295
0.0325,12.43072,19.69295
0.033,12.43033,19.69295
0.0335,12.43072,19.69295
0.034,12.43072,19.69295
0.0345,12.43072,19.69295
0.035,12.43072,19.69295
0.0355,12.43072,19.69295
0.036,12.43072,19.69295
0.0365,12.43072,19.69295
0.037,12.43072,19.69295
0.0375,12.43072,19.69295
0.038,12.43072,19.69295
0.0385,12.43072,19.69295
0.039,12.43072,19.69295
0.0395,12.43072,19.69295
0.04,12.43072,19.69295
0.0405,12.43072,19.69295
0.041,12.43072,19.69295
0.0415,12.43072,19.69295
0.042,12.43072,19.69295
0.0425,12.43033,19.69295
0.043,12.43033,19.69295
0.0435,12.43033,19.69295
0.044,12.43072,19.69295
0.0445,12.43072,19.69295
0.045,12.43033,19.69295
0.0455,12.43033,19.69295
0.046,12.43072,19.69295
0.0465,12.43033,19.69295
0.047,12.43033,19.69295
0.0475,12.43072,19.69295
0.048,12.43033,19.69295
0.0485,12.43033,19.69295
0.049,12.43072,19.69295
0.0495,12.43072,19.69295
0.05,12.43072,19.69295
0.0505,12.43072,19.69295
0.051,12.43072,19.69295
0.0515,12.43072,19.69295
0.052,12.43072,19.69295
0.0525,12.43072,19.69295
0.053,12.43072,19.69295
0.0535,12.43072,19.69295
0.054,12.43072,19.69295
0.0545,12.43072,19.69295
0.055,12.43072,19.69295
0.0555,12.43072,19.69295
0.056,12.43072,19.69295
0.0565,12.43072,19.69295
0.057,12.43072,19.69295
0.0575,12.43072,19.69295
0.058,12.43072,19.69295
0.0585,12.43072,19.69295
0.059,12.43072,19.69295
0.0595,12.43072,19.69295
0.06,12.43072,19.69295
0.0605,12.43072,19.69295
0.061,12.43072,19.69295
0.0615,12.43072,19.69295
0.062,12.43072,19.69295
0.0625,12.43072,19.69295
0.063,12.43072,19.69295
0.0635,12.43072,19.69295
0.064,12.43072,19.69295
0.0645,12.43072,19.69295
0.065,12.43072,19.69295
0.0655,12.43072,19.69295
0.066,12.43072,19.69295
0.0665,12.43033,19.69295
0.067,12.43072,19.69295
0.0675,12.43072,19.69295
0.068,12.43033,19.69295
0.0685,12.43033,19.69295
0.069,12.43033,19.69295
0.0695,12.43072,19.69295
0.07,12.43072,19.69295
0.0705,12.43072,19.69295
0.071,12.43072,19.69295
0.0715,12.43033,19.69295
0.072,12.43033,19.69295
0.0725,12.43072,19.69295
0.073,12.43033,19.69295
0.0735,12.43072,19.69295
0.074,12.43072,19.69295
0.0745,12.43072,19.69295
0.075,12.43072,19.69295
0.0755,12.43072,19.69295
0.076,12.43072,19.69295
0.0765,12.43072,19.69295
0.077,12.43072,19.69295
0.0775,12.43072,19.69295
0.078,12.43072,19.69295
0.0785,12.43072,19.69295
0.079,12.43072,19.69295
0.0795,12.43072,19.69295
0.08,12.43072,19.69295
0.0805,12.43072,19.69295
0.081,12.43033,19.69295
0.0815,12.43072,19.69295
0.082,12.43033,19.69295
0.0825,12.43033,19.69295
0.083,12.43033,19.69295
0.0835,12.43033,19.69295
0.084,12.43072,19.69295
0.0845,12.43033,19.69295
0.085,12.43072,19.69295
0.0855,12.43072,19.69295
0.086,12.43072,19.69295
0.0865,12.43072,19.69295
0.087,12.43072,19.69295
0.0875,12.43072,19.69295
0.088,12.43072,19.69295
0.0885,12.43033,19.69295
0.089,12.43072,19.69295
0.0895,12.43033,19.69295
0.09,12.43033,19.69295
0.0905,12.43033,19.69295
0.091,12.43072,19.69295
0.0915,12.43033,19.69295
0.092,12.43033,19.69295
0.0925,12.43033,19.69295
0.093,12.43033,19.69295
0.0935,12.43033,19.69295
0.094,12.43072,19.69295
0.0945,12.43072,19.69295
0.095,12.43033,19.69295
0.0955,12.43033,19.69295
0.096,12.43033,19.69295
0.0965,12.43033,19.69295
0.097,12.43033,19.69295
0.0975,12.43033,19.69295
0.098,12.43033,19.69295
0.0985,12.43033,19.69295
0.099,12.43033,19.69295
0.0995,12.43072,19.69295
0.1,12.43072,19.69295
0.1005,12.43072,19.69295
0.101,12.43072,19.69295
0.1015,12.43072,19.69295
0.102,12.43072,19.69295
0.1025,12.43072,19.69295
0.103,12.43072,19.69295
0.1035,12.43072,19.69295
0.104,12.43072,19.69295
0.1045,12.43072,19.69295
0.105,12.43072,19.69295
0.1055,12.43072,19.69295
0.106,12.43072,19.69295
0.1065,12.43072,19.69295
0.107,12.43072,19.69295
0.1075,12.43072,19.69295
0.108,12.43072,19.69295
0.1085,12.43072,19.69295
0.109,12.43072,19.69295
0.1095,12.43072,19.69295
0.11,12.43072,19.69295
0.1105,12.43072,19.69295
0.111,12.43072,19.69295
0.1115,12.43072,19.69295
0.112,12.43072,19.69295
0.1125,12.43072,19.69295
0.113,12.43072,19.69295
0.1135,12.43072,19.69295
0.114,12.43072,19.69295
0.1145,12.43072,19.69295
0.115,12.43072,19.69295
0.1155,12.43072,19.69295
0.116,12.43072,19.69295
0.1165,12.43072,19.69295
0.117,12.43072,19.69295
0.1175,12.43072,19.69295
0.118,12.43072,19.69295
0.1185,12.43072,19.69295
0.119,12.43072,19.69295
0.1195,12.43072,19.69295
0.12,12.43072,19.69295
0.1205,12.43072,19.69295
0.121,12.43072,19.69295
0.1215,12.43072,19.69295
0.122,12.43072,19.69295
0.1225,12.43072,19.69295
0.123,12.43072,19.69295
0.1235,12.43072,19.69295
0.124,12.43072,19.69295
0.1245,12.43072,19.69295
0.125,12.43072,19.69295
0.1255,12.43072,19.69295
0.126,12.43072,19.69295
0.1265,12.43072,19.69295
0.127,12.43072,19.69295
0.1275,12.43072,19.69295
0.128,12.43072,19.69295
0.1285,12.43072,19.69295
0.129,12.43072,19.69295
0.1295,12.43072,19.69295
0.13,12.43072,19.69295
0.1305,12.43072,19.69295
0.131,12.43072,19.69295
0.1315,12.43072,19.69295
0.132,12.43072,19.69295
